Designator,Quantity,Value,footprint,LCSC Part #,
U1,1,AMS1117-3.3,SOT223-3,C6186,
FB1,1,100 @ 100 MHz,0603, C1002,
F1,1,500mA,0603, C10677,
D2,1,B5819W,SOD-123, C8598,
C31,1,10u,0603,C19702,
C32,1,10u,0603,C19702,
FB2,1,100 @ 100 MHz,0603, C1002,
C36,1,1u,EIA-3216-18,C7176,
C37,1,100n,0402,C1525,
C18,1,100n,0402,C1525,
C19,1,100n,0402,C1525,
C20,1,100n,0402,C1525,
C21,1,100n,0402,C1525,
C22,1,100n,0402,C1525,
C23,1,100n,0402,C1525,
C24,1,100n,0402,C1525,
C25,1,100n,0402,C1525,
C26,1,100n,0402,C1525,
C16,1,100n,0402,C1525,
C17,1,100n,0402,C1525,
C7,1,100n,0402,C1525,
C8,1,100n,0402,C1525,
C9,1,100n,0402,C1525,
C10,1,100n,0402,C1525,
C11,1,100n,0402,C1525,
C12,1,100n,0402,C1525,
C13,1,100n,0402,C1525,
C14,1,100n,0402,C1525,
C15,1,100n,0402,C1525,
C5,1,100n,0402,C1525,
C6,1,100n,0402,C1525,
C4,1,100n,0402,C1525,
C3,1,1u,EIA-3216-18,C7176,
C2,1,4.7u,EIA-3216-18, C161817,
C1,1,4.7u,EIA-3216-18, C161817,
HSE1,1,25MHz,SMD-3225_4P, C9006,
R2,1,100,0402, C25076,
C28,1,18p,0402,C1549,
C29,1,18p,0402,C1549,
R4,1,10k,0402, C25744,
C30,1,2.2u,1206, C50254,
C33,1,2.2u,1206, C50254,
C34,1,1u,EIA-3216-18,C7176,
C35,1,100n,0402,C1525,
R3,1,0,0402,C17168,
R5,1,10k,0402, C25744,
D3,1,Red LED,0603, C2286,
C27,1,100n,0402,C1525,
R11,1,512,0603,C51224,
U2,1,STM32F746ZGT6,Package_QFP:LQFP-144_20x20mm_P0.5mm, C90750,
R15,1,10k,0402, C25744,
R14,1,10k,0402, C25744,
C41,1,100n,0402,C1525,
C40,1,10u,0603,C19702,
C38,1,10u,0603,C19702,
C39,1,100n,0603, C14663,
R16,1,4.99k,0402, C25903,
J6,1,142-0701-851,SamacSys_Parts:142-0701-851,,
R21,1,418,0402,,
R25,1,558,0402, C67558,
R17,1,4.52k,0402,,
C46,1,1.3n,0603,,
C42,1,1.3n,0603,,
U3,1,ADA4807-1,SOT23-6,,
R22,1,406,0402,,
R26,1,541,0402,,
R18,1,4.39k,0402,,
C47,1,1.1n,0603,,
C43,1,1.1n,0603,,
U4,1,ADA4807-1,SOT-23-6,,
R23,1,1.02k,0402,,
R27,1,106,0402,,
R19,1,11k,0402,,
C48,1,1.5n,0603,,
C44,1,1.5n,0603,,
U5,1,ADA4807-1,SOT-23-6,,
R24,1,966,0402,,
R28,1,100,0402,,
R20,1,10.4k,0402,,
C49,1,1n,0603, C1588,
C45,1,1n,0603, C1588,
U6,1,ADA4807-1,SOT-23-6,,
J5,1,PJS008-2003-1,SamacSys_Parts:PJS00820031,,
R13,1,0,0402,,
R12,1,NA,0402,,
R6,1,47k,0402, C25792,
R7,1,47k,0402, C25792,
R8,1,47k,0402, C25792,
R9,1,47k,0402, C25792,
R10,1,47k,0402, C25792,
IC1,1,AD8031ARZ,SamacSys_Parts:SOIC127P600X175-8N,,
R1,1,2k2,0603, C4190,
D1,1,Green LED,0603, C72043,
S1,1,TL1105CF160Q,SamacSys_Parts:TL1105CF160Q,,
