Designator,Mid X,Mid Y,Layer,Rotation
C1,129.75,-109.75,top,180
C2,141.6,-107,top,0
C3,141,-110.5,top,-90
C4,129.75,-112,top,180
C5,141,-114,top,-90
C6,103.8,-107.9,top,90
C7,99.3,-113.6,top,-90
C8,106.2,-107.9,top,90
C9,109.1,-113,top,-90
C10,106.1,-95.9,top,0
C11,103.02,-89,top,0
C12,107.9,-94.7,top,-90
C13,140,-100.7,top,-90
C14,136.8,-101,top,180
C15,132.6,-103.6,top,180
C16,124.3,-101,top,180
C17,140.3,-84.3,top,-90
C18,120.1,-87.5,top,-90
C19,140.8,-79.6,top,90
C20,120.3,-84.6,top,90
C21,123.4,-81,top,0
C22,119.253,-109.347,top,90
C23,116.84,-95.758,top,180
C24,120.2,-94.7,top,-90
C25,120.142,-99.314,top,-90
C26,115.443,-98.044,top,-90
C27,122.6,-112.25,top,0
C28,118.999,-106.426,top,0
C29,120,-93.091,top,0
C30,99.5,-87,top,180
C31,109.7,-83.7,top,180
C32,112.75,-83.75,top,90
C33,112.5,-88.77,top,90
C34,144.25,-76.75,top,0
C48,117.1,-92.2,top,0
C49,117.1,-86.6,top,0
C50,154.1,-99.5,top,90
D2,126.9,-103.4,top,90
D3,152.2875,-95.1,top,0
F1,145,-113,top,90
FB1,145.1,-103.5,top,0
FB2,118.11,-98.679,top,90
FID1,109.5,-77.75,top,0
FID2,115,-113.75,top,0
FID3,148.9,-93,top,0
IC1,135.75,-111.5,top,0
IC2,101.75,-97.75,top,180
IC3,101.75,-91.75,top,180
IC4,104.2,-112.7,top,0
IC5,109.75,-89.25,top,0
J1,161,-110.7,top,90
J2,101.5,-80.5,top,0
J3,137.9,-77.1,top,-90
J4,154.6,-83.5,top,90
J7,127.8,-77.5,top,-90
L1,100,-108,top,180
L2,109.8,-108.3,top,0
Q1,145.5,-107,top,-90
R1,151,-113,top,-90
R2,148,-113,top,-90
R3,105.75,-99.25,top,0
R4,106,-92.75,top,0
R5,106.19,-97.4,top,180
R6,101.5,-85.75,top,0
R7,106,-94.25,top,180
R8,106,-90.7,top,180
R9,98,-96.75,top,180
R10,98,-98.5,top,0
R11,98,-89.7,top,0
R12,97.9,-92.4,top,0
R13,109.5,-98,top,-90
R14,110,-93.75,top,-90
R15,109.75,-85.5,top,180
R16,106,-87.5,top,90
R17,143.6,-80.2,top,180
R18,116.586,-98.044,top,-90
R19,143.6,-81.6,top,180
R20,120.2,-91.3,top,180
R21,124.7,-103.4,top,90
R22,143.5,-83.4,top,180
R23,143,-87.3,top,180
R24,143,-88.6,top,180
R27,127.1,-80.5,top,90
R28,152.3,-97,top,180
S1,159.55,-97.4,top,90
U2,130.2,-91.1,top,0
U3,123,-109,top,0
U4,151.2,-104.7,top,90
Y1,117.2,-89.4,top,-90
