Designator,Mid X,Mid Y,Layer,Rotation
C1,129.75,-109.75,top,180
C2,141.6,-107,top,0
C3,141,-110.5,top,-90
C4,129.75,-112,top,180
C5,141,-114,top,-90
C10,100.2,-91.6,top,0
C11,102.4,-86,top,0
C12,102.2,-96.6,top,0
C13,140,-100.7,top,90
C14,136.6,-101.2,top,180
C15,132.6,-103.6,top,180
C16,124.3,-101,top,180
C17,140.2,-85.2,top,-90
C18,120.1,-87.5,top,-90
C19,141.5,-94,top,-90
C20,120.3,-84.6,top,90
C21,123.5,-81,top,0
C22,119.253,-109.347,top,90
C23,116,-95.6,top,0
C24,120,-94.6,top,0
C25,120.142,-99.314,top,90
C26,115.443,-98.044,top,-90
C27,122.6,-112.25,top,0
C28,121.8,-105.4,top,180
C29,119.6,-93.11,top,0
C30,108.4,-94.2,top,-90
C31,100,-87.8,top,0
C32,98.4,-99.8,top,-90
C33,99.4,-110.4,top,90
C34,143.28,-76.8,top,0
C35,101.8,-110.4,top,90
C36,110,-106.8,top,0
C37,106.6,-107.4,top,90
C38,114.4,-107.6,top,0
C39,114.4,-109.4,top,0
C40,114.4,-105.2,top,0
C41,103.4,-106.6,top,0
C42,111.6,-114.2,top,180
C48,117.1,-92.2,top,0
C49,116.8,-86.4,top,0
C50,154.1,-99.5,top,90
D2,126.9,-103.4,top,90
D3,152.2875,-95.1,top,0
F1,145,-113,top,90
FB1,145.1,-103.5,top,0
FB2,118.11,-98.679,top,90
FID1,109.5,-77.75,top,0
FID2,126.4,-114.6,top,0
FID3,148.9,-93,top,0
IC1,135.75,-111.5,top,0
IC2,106.8,-87.8,top,0
IC3,104.6,-93.8,top,0
IC5,104.8,-100.2,top,-90
IC6,110.4,-110.4,top,0
J1,161,-110.7,top,270
J2,101.6,-80.5,top,0
J3,135.3,-77,top,-90
J4,154.6,-83.5,top,90
J7,120.3,-77.4,top,-90
Q1,145.5,-107,top,-90
R1,151,-113,top,-90
R2,148,-113,top,-90
R3,105.4,-91,top,180
R4,102.8,-87.8,top,0
R5,100.6,-99.8,top,90
R6,102.8,-89.8,top,180
R7,100,-86,top,0
R8,99,-95,top,180
R9,100.2,-89.8,top,0
R10,97.8,-87.3,top,-90
R11,99,-97.4,top,180
R12,115.4,-112,top,-90
R13,106.4,-112.2,top,90
R14,104,-110.4,top,90
R17,143.6,-79.7,top,180
R18,116.586,-98.044,top,-90
R19,143.6,-81.4,top,180
R20,120.2,-91.3,top,180
R21,124.7,-103.4,top,90
R22,143.6,-84.2,top,180
R23,143,-87.3,top,180
R24,143.3,-89.6,top,-90
R27,127.1,-80.5,top,90
R28,152.3,-97,top,180
S1,159.55,-97.4,top,90
U2,130.2,-91.1,top,0
U3,123,-109,top,0
U4,151.2,-104.7,top,270
Y1,117.2,-89.4,top,-90
