Ultiboard Information Export File,,,,
,,,,
Design Name  : OPA659_At1_6 - Bill of materials,,,,
Report Date  : 14 November 2019,,,,
Report Time  : 14:06,,,,
--------------------------------------------------------------------------------,,,,
,,,,
VALUE,#,REFDES,FOOTPRINT,Package
,,,,
1uF,1,C2,CAPC1608X95N,IPC-7351\Chip-R0603
2.49kOhm,2,"R9,R11",RESC1608X63N,IPC-7351\Chip-R0603
6.34kOhm,1,R15,RESC1608X63N,IPC-7351\Chip-R0603
10kOhm,1,R14,RESC1608X63N,IPC-7351\Chip-R0603
10pF,1,C9,CAPC1608X95N,IPC-7351\Chip-R0603
34.8kOhm,1,R1,RESC1608X63N,IPC-7351\Chip-R0603
35.7kOhm,1,R6,RESC1608X63N,IPC-7351\Chip-R0603
44.2kOhm,1,R12,RESC1608X63N,IPC-7351\Chip-R0603
47uF,4,"C10,C11,C12,C13",CAPAE660X790N,IPC-7351\AlumElec-CaseD8
50kOhm,2,"R2,R16",RESC1608X63N,IPC-7351\Chip-R0603
66.5kOhm,1,R13,RESC1608X63N,IPC-7351\Chip-R0603
100kOhm,2,"R3,R4",RESC1608X63N,IPC-7351\Chip-R0603
100nF,1,C14,CAPC1608X95N,IPC-7351\Chip-C0603
100pF,4,"C3,C4,C7,C8",CAPC1608X95N,IPC-7351\Chip-R0603
187Ohm,2,"R8,R10",RESC1608X63N,IPC-7351\Chip-R0603
220uF,1,C1,CAPAE660X540N,IPC-7351\AlumElec-CaseD
330Ohm,1,R17,RESC1608X63N,IPC-7351\Chip-R0603
282834-2,1,BATTERY,TE_282834-2,TE Connectivity\282834-2
HDR1X2,2,"BIASED
SIGNAL,FILTER
OUTPUT",HDR1X2,Generic\HDR1X2
LMH6643MA,1,U5,SOIC127P600X175-8N,IPC-7351A\SOICNARROW-8(M08A)
LT1528CQ,1,U6,TO170P1405X457-6N,IPC-7351\DD-5
OPA659IDBVR,2,"U1,U2",SOT95P280X145-5N,Texas Instruments\SOT-23-5(DBV)
SMAh-edge,1,J1,SMAh-edge,generic\SMAh-edge
TLE2426CD,1,U3,SOIC127P600X175-8N,IPC-7351\SOIC-D-8
